campaignId,campaignName,Budget,market,total_clicks_3d,total_order_3d,total_impressions_3d,total_clicks_7d,total_order_7d,total_impressions_7d,total_order_30d,total_impressions_30d,total_clicks_30d,ACOS_30d,ACOS_7d
187341066219728,L58(AUT-NEW),20.0,IT,8.0,0.0,11061.0,14.0,0.0,15207.0,0.0,34680.0,29.0,,
59205171456120,All Leggings - AUTO (L01/L09/L52/L02)_overstock,5.76,IT,36.0,2.0,38755.0,95.0,6.0,66492.0,29.0,234629.0,419.0,0.154917,0.287118
279711333416950,B14 - AUTO_overstock,8.0,IT,87.0,1.0,31631.0,132.0,1.0,57457.0,12.0,108354.0,275.0,0.322326,2.435927
248322983439240,G18 Auto (Anton),16.0,IT,6.0,1.0,21812.0,17.0,2.0,41233.0,3.0,102327.0,57.0,0.226793,0.121157
96847443850544,B21 Auto (Anton),5.0,IT,5.0,0.0,14530.0,16.0,0.0,24441.0,7.0,66093.0,65.0,0.102,
274605775691234,L88/L90 Auto (Anton),40.0,IT,5.0,0.0,6369.0,11.0,0.0,11683.0,1.0,21480.0,24.0,0.295524,
247238810250138,L100 Auto (Anton)_overstock,15.0,IT,5.0,0.0,2139.0,10.0,0.0,4528.0,0.0,19234.0,33.0,,
80670043963534,L49 Auto (Anton),15.0,IT,1.0,0.0,11996.0,12.0,0.0,26195.0,0.0,64821.0,52.0,,
192219691657423,M39/M128 (Auto),85.0,IT,2.0,0.0,3024.0,2.0,0.0,7683.0,1.0,42125.0,34.0,0.428223,
227509511243927,L96/L107/L113 Auto,15.0,IT,5.0,0.0,7406.0,11.0,0.0,13988.0,0.0,38339.0,25.0,,
218366310387073,Campaign - 17/4/2023 11:47:04,14.0,IT,73.0,2.0,179228.0,143.0,6.0,353752.0,21.0,600758.0,298.0,0.214741,0.637289
151548669851535,M11/M24/M57 (AUTO),5.0,IT,2.0,0.0,27212.0,2.0,0.0,39379.0,1.0,53225.0,8.0,0.091353,
40873769983594,All men's thermal,5.0,IT,32.0,0.0,178335.0,90.0,0.0,378588.0,4.0,493443.0,173.0,0.148026,
79265300435698,M93 (AUTO)_overstock,8.0,IT,133.0,0.0,34131.0,275.0,6.0,65526.0,12.0,100583.0,415.0,0.414633,0.579837
27909110704507,B03 (AUTO),28.0,IT,8.0,0.0,33155.0,15.0,1.0,59770.0,5.0,157310.0,45.0,0.097632,0.383771
173016835576033,M29 (AUTO-NEW),5.0,IT,7.0,0.0,36866.0,9.0,0.0,65969.0,0.0,139500.0,26.0,,
242198223715881,G11 - AUTO,5.0,IT,5.0,0.0,18273.0,17.0,0.0,26203.0,1.0,49074.0,64.0,0.420671,
181282165944842,M38 - AUTO_overstock,20.0,IT,1.0,0.0,993.0,7.0,0.0,2573.0,0.0,39879.0,55.0,,
388550184128746,L17/L41/L44,100.0,IT,22.0,0.0,34769.0,42.0,0.0,46737.0,2.0,111312.0,76.0,0.439331,
282756947794209,K01_AUTO,15.0,IT,42.0,1.0,38669.0,109.0,6.0,73874.0,47.0,506549.0,996.0,0.249086,0.372912
308328518287691,DeepBI_new_summer_M07R2_Auto,10.0,IT,12.0,1.0,26020.0,35.0,3.0,39553.0,3.0,68910.0,68.0,0.186059,0.108625
396897728935839,DeepBI_new_L52(AUTO)_overstock,8.0,IT,43.0,3.0,28740.0,79.0,5.0,65823.0,33.0,331709.0,534.0,0.240802,0.239686
557084688840471,DeepBI_new_summer_M134R1_Auto_overstock,8.0,IT,7.0,0.0,5510.0,16.0,0.0,11980.0,8.0,154569.0,130.0,0.226135,
502164209091797,DeepBI_0502_L02 auto new_overstock,6.0,IT,20.0,1.0,6217.0,42.0,2.0,9952.0,21.0,124535.0,371.0,0.237805,0.185266
358940501120494,DeepBI_0502_m35 auto_overstock,8.64,IT,74.0,0.0,36216.0,141.0,3.0,88057.0,27.0,365819.0,533.0,0.243005,0.602046
370419658737641,DeepBI_0502_M100 - auto,5.0,IT,11.0,0.0,4652.0,22.0,0.0,11384.0,3.0,72766.0,124.0,0.45715,
526437547530246,DeepBI_0502_G19 auto 2_overstock,3.0,IT,13.0,0.0,9677.0,20.0,0.0,18657.0,3.0,90591.0,142.0,0.24002,
559640343558841,DeepBI_0502_L54_AUTO_overstock,5.0,IT,0.0,0.0,2118.0,0.0,0.0,3639.0,0.0,29205.0,55.0,,
425102548546382,DeepBI_0502_L59_AUTO_overstock,5.0,IT,2.0,0.0,352.0,19.0,0.0,1192.0,2.0,32486.0,208.0,1.202881,
395817612263834,DeepBI_0502_L103_AUTO_overstock,5.0,IT,0.0,0.0,737.0,3.0,0.0,1734.0,0.0,19013.0,53.0,,
551183931290967,DeepBI_0502_L98_AUTO_overstock,5.0,IT,7.0,0.0,6872.0,43.0,0.0,20087.0,1.0,46530.0,111.0,1.708984,
328200648881773,DeepBI_0502_M05_AUTO_overstock,5.0,IT,4.0,0.0,15624.0,8.0,0.0,25675.0,1.0,39617.0,24.0,0.224166,
