market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
DE,4166.48,143.17,0.034362,2.81815E+14,The Shark - SD - CAT - VCPM - IMG - ASINs Att,4.76548E+14,Ad group - 12.6.2024 15:27:47.249,E01060,DeepBI_0507_The Shark - SD - CAT - VCPM - IMG - ASINs Att,DeepBI_0507_Ad group - 12.6.2024 15:27:47.249
DE,2463.13,111.23,0.045158,3.16591E+14,The Whale - SD - CT - VPCM - ASIN Att,3.30096E+14,Ad group - 19.7.2023 09:54:23.612,E02157,DeepBI_0507_The Whale - SD - CT - VPCM - ASIN Att,DeepBI_0507_Ad group - 19.7.2023 09:54:23.612
DE,2443.75,35.96,0.014715,1.99067E+14,The Shark - SD - OM Pumps - VCPM -Def,2.37073E+14,Ad group - 20.3.2023 11:28:23,E01060,DeepBI_0507_The Shark - SD - OM Pumps - VCPM -Def,DeepBI_0507_Ad group - 20.3.2023 11:28:23
DE,773.31,47.84,0.061864,1.20609E+14,The Shark - SD - VCPM - IMG CAT -similar products,2.28819E+14,Ad group - 1.3.2023 10:32:43,E01060,DeepBI_0507_The Shark - SD - VCPM - IMG CAT -similar products,DeepBI_0507_Ad group - 1.3.2023 10:32:43
DE,580.3,119.75,0.206359,3.38079E+14,SHARK - SD - IMG - VCPM - CAT - Att - Price＞100,4.39198E+14,Ad group - 21.5.2024 17:22:29.062,E01060,DeepBI_0507_SHARK - SD - IMG - VCPM - CAT - Att - Price＞100,DeepBI_0507_Ad group - 21.5.2024 17:22:29.062
DE,541.44,159.52,0.294622,1.59572E+14,The Dolphin - SD - Inflatable Boards category - VCPM,1.14641E+14,Ad group - 1.3.2023 09:57:23,E02227,DeepBI_0507_The Dolphin - SD - Inflatable Boards category - VCPM,DeepBI_0507_Ad group - 1.3.2023 09:57:23
DE,488.22,78.33,0.16044,4.32213E+14,速降盔-SD-VCPM-CAT-IMG-ATT,3.40503E+14,速降盔-SD-VCPM-CAT-IMG-ATT,803922-EU,DeepBI_0507_速降盔-SD-VCPM-CAT-IMG-ATT,DeepBI_0507_速降盔-SD-VCPM-CAT-IMG-ATT
DE,312.11,4.44,0.014226,4.39155E+14,新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,3.63227E+14,新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,804902-EU,DeepBI_0507_新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,DeepBI_0507_新款Cachalot 2 - SD - 防御 - ASIN - Vcpm
DE,205.16,47.97,0.233818,1.70625E+12,The Dolphin - SD - AUDT - 浏览营销,2.47732E+14,Ad group - 23.6.2022 10:02:55,E02227,DeepBI_0507_The Dolphin - SD - AUDT - 浏览营销,DeepBI_0507_Ad group - 23.6.2022 10:02:55
DE,158.03,24.59,0.155603,104948966307494,The Dolphin - SD - PRT - ASINs,2.06086E+14,Ad group - 23.6.2022 10:48:58,E02227,DeepBI_0507_The Dolphin - SD - PRT - ASINs,DeepBI_0507_Ad group - 23.6.2022 10:48:58
DE,126,8.45,0.067063,5.60867E+14,女款滑雪袜 - SD - skisocken Herren category - VPCM,2.87926E+14,Ad group - 24.10.2023 15:53:04.241,E03284,DeepBI_0507_女款滑雪袜 - SD - skisocken Herren category - VPCM,DeepBI_0507_Ad group - 24.10.2023 15:53:04.241
DE,78.54,19.73,0.25121,2.24386E+14,The Shark - SD - AUDT -互补品 - CPC,1.84754E+14,Ad group - 20.4.2022 10:21:54,E01060,DeepBI_0507_The Shark - SD - AUDT -互补品 - CPC,DeepBI_0507_Ad group - 20.4.2022 10:21:54
DE,47.13,38.34,0.813495,1.79067E+14,The Dolphin - SD - VCPM - IMG AUD -VM 30D - 竞品类目 - ＞50EUR - Att,2.80157E+12,Ad group - 16.3.2023 19:43:23,E02227,DeepBI_0507_The Dolphin - SD - VCPM - IMG AUD -VM 30D - 竞品类目 - ＞50EUR - Att,DeepBI_0507_Ad group - 16.3.2023 19:43:23
DE,0,21.95,,2.43625E+14,The Dolphin - SD - AUDT -互补品 - CPC,1.78831E+14,Ad group - 23.6.2022 10:14:10,E02227,DeepBI_0507_The Dolphin - SD - AUDT -互补品 - CPC,DeepBI_0507_Ad group - 23.6.2022 10:14:10
DE,0,3.62,,1.93011E+14,女款滑雪袜 - SD - skisocken damen category - VPCM,1.26831E+14,广告组 - 7.12.2022 14:56:31,E03284,DeepBI_0507_女款滑雪袜 - SD - skisocken damen category - VPCM,DeepBI_0507_广告组 - 7.12.2022 14:56:31
