campaignName,adGroupName,campaignId,adGroupId,advertisedSku,new_campaignName,new_adGroupName,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079HGBD00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBW00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBF2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBF00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBW00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKGN00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBW0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079GBBL2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBW2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079HGBD00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079DHGN00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKRB00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKRB00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079GBBL00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079GBBL0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBG0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKRB0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079DGRB00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBH00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129LGGC00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079DGRB00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBB00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079HGBD00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079BKBW00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079DGRB0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKGN0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBG2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079HGBD2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKGN2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBG00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079HGBD0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079GBBL00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM20AW0079LGBG00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKBW00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKRB2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBB00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBF00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKBW00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKGN00SR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBF00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129LGGC00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKBW00MR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBB00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBF00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKRB00LR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBB0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBF0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129DGGB0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129LGGC0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129BKBW0XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,508636322380435,370096620859838,LPM22AW0129HGBB2XLR2,DeepBI_0502_M79 M95 - Manual,DeepBI_0502_M79 M95 - Manual,,,,,,,,,,,,
